Day,Top 50 Arrivals BOPs
741,1832 381 2468 863 1098 2460 2260 1199 1034 1534 348 1131 1385 533 535 31 516 767 882 899 2334 914 2199 2234 1259 108 508 570 721 1524 71 1020 1766 841 864 1434 386 1577 358 1300 1679 357 612 629 881 1743 1192 783 2277 910
742,381 1832 2468 863 1199 2260 2460 2103 1034 1131 1534 348 535 1385 1098 899 31 516 882 914 721 1766 767 2334 508 1020 2234 1259 2199 71 1524 1679 108 386 570 1434 1300 1577 1743 358 841 864 910 116 357 629 783 881 575 1417
743,381 1832 1524 2468 1199 863 2260 1131 535 1034 2460 1534 1977 348 2103 899 480 721 1385 516 612 914 1766 31 882 681 767 1679 2234 2334 1098 1743 2199 71 386 910 1259 108 508 1020 61 1300 358 575 864 2292 116 357 783 1144
744,2468 381 899 1832 1199 1524 1743 2103 863 1128 2260 535 533 612 1041 1034 348 516 721 681 1977 1385 2460 1534 31 1098 2216 480 767 2334 1679 2234 882 2292 1131 71 1766 914 2199 61 386 783 910 1020 1300 1434 204 1259 2241 629
745,2468 1832 1766 381 1034 1300 1524 570 2103 1131 1199 863 1743 348 575 516 899 1417 1128 612 681 1041 721 480 2216 2292 1098 1679 1016 1977 535 31 2460 1330 61 533 783 2260 2334 71 1385 2029 2241 1534 767 735 2234 1434 213 882
746,2468 381 681 1832 1131 863 1034 535 565 508 721 61 348 1192 1577 516 1144 2277 1300 1199 2103 533 2241 570 2292 2260 2361 914 1524 735 767 480 612 1296 1679 2360 1098 697 1534 429 68 1668 910 1766 1977 2402 744 300 726 31
747,2468 381 1832 681 1131 516 565 863 1034 1577 721 1144 2260 348 480 535 61 612 1385 1524 2103 2199 2292 1199 914 1192 1300 2241 2361 735 1679 108 767 1259 1534 2360 1977 570 1098 429 882 68 300 508 697 1766 1296 1668 2029 2402
748,1832 381 2468 535 681 1034 516 1131 565 1577 863 612 1199 2260 721 2460 899 348 2292 1524 2241 61 2103 914 2199 480 1098 2361 735 1300 1534 1679 1977 1385 300 570 1192 108 882 68 429 767 1668 1766 697 910 2360 508 1259 1296
749,1766 2468 575 841 381 516 1743 1199 348 882 681 721 2260 899 1259 1679 2460 565 1034 1577 914 1668 2292 61 863 386 612 1128 1417 1131 1509 2103 2241 116 1296 1524 1957 68 1534 1768 1300 1382 910 1575 1977 1041 2277 570 2029 358
750,2468 1766 381 516 575 1743 882 1199 841 721 899 535 1259 2260 681 1131 1679 480 1509 863 61 565 914 1577 1832 2103 2292 1034 1417 1575 68 1128 1296 1382 2241 116 612 1524 1534 300 2029 2460 1957 1192 1668 910 1300 1768 1977 570
751,2468 1766 381 1034 516 575 899 1743 1199 721 882 1131 841 2260 480 1679 2103 2292 863 914 565 1832 681 1577 1575 2460 1417 1668 1128 1296 1300 1382 1534 1614 116 612 68 1524 1192 2029 61 570 1957 2241 1768 300 1977 108 1098 910
752,2468 1766 1832 1034 381 899 516 575 1199 1743 841 721 1131 1259 386 1679 2260 565 863 1577 2292 882 2103 480 914 1614 300 1300 1382 2460 1588 358 612 681 1296 1524 1977 910 1128 1417 116 570 1534 1957 2029 767 1192 1575 1668 108
753,2468 1766 1034 381 899 575 721 1743 516 1199 1832 841 1131 1259 1679 2292 2260 565 358 1382 2103 386 480 863 914 2460 300 882 910 1577 1614 612 1588 61 767 1296 1417 1524 1534 1977 570 1128 1192 681 1300 1792 2029 116 1098 1957
754,2468 381 1766 1034 899 1199 1832 575 721 516 1743 1131 841 2292 358 1259 1679 2103 2260 1382 1577 480 565 863 2460 910 914 1534 386 570 612 1192 1296 1300 1524 1614 300 767 1792 1977 1588 108 882 1128 1381 1417 116 1098 61 1957
755,2468 381 1766 61 1034 1832 899 2292 1199 575 721 1743 516 841 1382 1131 1679 358 565 2260 1792 1259 1534 1577 480 1296 2103 1300 1381 612 914 1192 2460 744 863 1524 108 767 910 1977 570 2029 386 1614 300 1098 116 508 1128 1417
756,2468 381 1766 61 1034 1832 899 721 575 1743 841 516 1131 1679 1199 1382 2103 2292 565 1534 1792 2260 480 1577 1296 914 1259 1381 612 1300 863 910 1524 2460 570 1192 767 1977 108 2029 419 744 1614 300 116 386 508 535 1098 1128
757,2468 381 1766 1832 1034 882 61 899 721 575 1743 2103 841 2292 1131 1792 1679 516 565 1577 480 1296 1382 2260 612 910 2460 108 1199 570 863 1524 914 1192 1259 1300 419 2029 767 1098 1534 1977 535 300 116 1128 1957 94 386 508
758,2468 381 1766 1832 882 899 61 721 841 575 2103 1792 1743 565 2292 358 1131 1577 612 2460 108 480 516 570 1199 910 1679 1524 1192 1296 2260 914 419 863 1300 1977 2029 1034 1259 2241 767 508 1098 744 535 1518 300 1128 94 116
759,2468 381 1766 899 2103 721 1792 61 841 575 681 1743 2460 565 108 570 1577 1131 612 1192 1034 2292 480 2260 910 1199 1296 1524 1977 419 1300 1679 358 516 914 508 767 1098 1259 2382 863 1534 1518 2241 2029 116 300 386 1128 1417
760,2468 381 1766 1034 2103 899 841 721 570 61 108 565 575 1577 1743 2460 612 1192 1199 2292 681 1524 1131 480 419 1098 1977 2260 508 910 1300 516 1296 914 1679 1534 358 767 1259 2029 2365 1730 2382 2241 1523 1385 116 1128 2216 386
