Day,Top 50 Arrivals BOPs
745,2360 381 575 1450 516 721 2165 565 863 1534 1259 194 697 882 1214 899 533 1722 1199 1034 2029 480 1369 348 416 1768 816 1128 535 2468 1743 2292 1308 2236 808 386 70 201 358 2260 1041 2008 2241 726 300 103 1555 13 1695 684
746,565 381 2360 2165 1450 1259 721 516 194 1034 863 882 2029 1534 1214 1722 697 533 2468 575 899 1369 416 1199 480 348 816 535 841 1743 2292 1768 1308 1128 1555 2236 386 2008 70 103 2241 255 201 13 808 684 300 643 1296 2356
747,1034 2165 2360 1259 1450 381 533 721 516 565 863 1534 882 194 1369 2029 1214 1722 697 1555 1199 416 910 535 2468 2008 2292 816 841 70 1308 575 2236 13 103 1768 899 684 643 808 1695 2241 1296 1480 201 1431 2026 2277 1832 386
748,2360 381 2165 1259 721 863 516 1534 1450 1034 194 882 565 2029 1722 533 1214 1369 1199 697 2292 910 416 808 1555 1308 2236 535 1832 255 816 643 2008 575 1768 386 899 201 13 329 684 2468 841 2241 2277 70 358 103 1743 1564
749,381 2165 2360 721 882 1450 516 1259 1722 194 863 2029 1534 1214 565 1369 697 416 2292 533 1199 816 808 2468 1555 1034 2236 255 1308 910 2008 899 13 1768 684 643 535 386 1695 480 575 1743 103 300 1832 201 1630 1296 348 1134
750,381 2165 2360 1450 721 882 1722 516 863 1259 2029 1214 194 1534 416 1369 697 565 2292 1199 2008 808 816 2468 910 1034 2236 1555 533 255 899 329 643 13 1832 1308 684 2277 650 575 841 535 1564 1695 1296 725 1134 300 348 1743
751,2165 2360 2029 1722 381 721 1450 516 863 1259 1214 882 2008 1369 2292 565 416 1199 697 1534 808 643 816 13 2468 1034 2236 910 1555 194 255 1832 329 1564 533 417 2026 1134 899 684 575 841 1128 1296 1308 2277 300 725 1695 535
752,2165 2029 2360 1722 721 1450 863 516 381 1214 416 1369 2008 565 2292 643 697 808 1199 816 13 2468 2026 329 1034 910 194 882 1564 1555 2236 1259 725 417 1134 1695 1832 1534 533 914 1417 480 1296 575 899 2277 2260 841 684 1342
753,2165 1722 721 2360 2029 1450 1369 863 516 1214 381 416 2008 565 2292 1199 643 13 808 697 2468 2026 910 1034 1564 1259 194 329 882 816 2236 725 1555 103 417 1534 1134 1417 1431 899 684 914 1695 535 1296 1832 1342 2277 841 2260
754,2165 1722 721 2029 2360 1450 516 863 1214 1369 416 2008 2292 381 565 13 643 2468 1534 808 1199 910 697 1832 194 882 2026 1555 1259 1034 329 2236 816 1564 417 575 535 1431 684 899 725 1296 1695 103 841 1134 348 1342 1743 2260
755,2165 1722 2029 721 2360 516 1450 1214 1369 416 2008 863 2292 381 643 882 13 2468 1259 1534 565 1034 194 2026 910 808 2236 1199 697 1832 1555 329 417 575 1564 725 1296 899 535 841 1431 684 1766 1342 1695 1698 2277 1743 1134 1576
756,2165 1722 2360 2029 721 1450 516 381 1214 1369 2008 416 863 2292 643 1034 882 2468 1259 13 565 910 1534 194 2026 329 2236 1199 841 808 1555 1695 1564 417 725 1296 575 1698 1342 1832 684 697 1766 1630 480 1431 816 1417 1134 2260
757,2165 1722 2029 721 2360 516 1450 381 1214 416 1369 2008 643 2292 863 2468 882 194 13 1259 1534 1034 1199 910 565 2026 2236 329 1832 533 816 1695 725 841 1555 1564 1431 417 899 684 1296 1342 300 1766 575 1630 480 1134 1576 1417
758,2165 1722 2029 2360 516 1450 721 381 1214 2008 643 1369 863 2468 416 2292 13 882 1259 194 1534 1199 2236 565 533 2026 329 910 1564 725 1695 1034 1555 841 1342 1431 417 1417 1832 684 1630 575 1766 1144 1134 899 1296 535 2260 2277
759,2165 1722 2029 2360 1450 721 516 1214 381 643 2008 2468 13 2292 863 1369 416 882 2236 1199 1034 1259 725 329 1695 565 1564 2026 194 910 1342 1555 1768 1534 841 1431 533 1576 2260 914 1832 684 1417 1630 575 1296 1698 1134 2277 535
760,2165 1722 2029 2360 1450 516 721 1214 381 643 2468 2008 2292 863 13 1369 2236 1034 416 882 1199 1564 1431 194 1695 725 329 1534 899 910 1630 533 1555 1259 841 1342 1768 565 1134 684 1417 1832 2260 1576 2171 1296 575 2026 914 2241
